QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 1

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
|123 | POLIZAS BLANKET (TURISTA)               |                    |                    |                                         |
|124 | IVA RCP                                 |                    |                    |                                         |
|125 | BONIFICACION NORMAL RCP                 |                    |                    |                                         |
|126 | REMESA DEL DERECHO                      |                    |                    |                                         |
|127 |                                         |                    |                    |                                         |
|128 |                                         |                    |                    |                                         |
|129 | CODIGO DE ADICIONAL                     |                    |                    |                                         |
|130 | NUMERO DE AUT. BONIFICACION             |                    |                    |                                         |
|131 | AUT. PARA TARIFICACION MANUAL           |                    |                    |                                         |
|132 |                                         |                    |                    |                                         |
|133 | DESCTO. POR ZONA PARA AUTOS             |                    |                    |                                         |
|134 | DESCTO. POR ZONA PARA CAMIONES          |                    |                    |                                         |
|135 | PRIMA SUVA                              |                    |                    |                                         |
|136 | AUT.BONIFICACION                        | 9N                 | PBONIF             |                                         |
|137 |                                         |                    |                    |                                         |
|138 | Libre                                   |                    |                    |                                         |
|139 | BANCO DE LA TARJETA                     |                    |                    |                                         |
|140 | PRORRATEO DE DERECHO                    |                    |                    |                                         |
|141 | AUT. P/PRORRATEO DE DCHO.               |                    |                    |                                         |
|142 |                                         |                    |                    |                                         |
|143 | AUT. P/EQ. ESP. Y ADAP.                 |                    |                    |                                         |
|144 | AUT. P.TARIFA DE EQ. PESADO             |                    |                    |                                         |
|145 | FECHA DE VENCIMIENTO DE LA TARJETA      |                    |                    |                                         |
|146 | CODIGO DE SEGURIDAD (American Express)  |                    |                    |                                         |
|147 | RENOVACION AUTOMATICA                   |                    |                    |                                         |
|148 | No. DE FLOTILLA P/POLIZA IND.           |                    |                    |                                         |
|149 | AUT. PARA %BONIF>20 REN.AUT             |                    |                    |                                         |
|150 | No. DE ORDEN DE TRABAJO (O.T.)          |                    |                    |                                         |
|151 | CONDICIONES VIGENTES                    |                    |                    |                                         |
|152 | FORMATO DE IMPRESION                    | 1N                 |                    |                                         |
|153 | AUT. DE % DE RECARGO                    |                    |                    |                                         |
|154 | AUT. PARA REHABILITAR CON + 60 DIAS     |                    |                    |                                         |
|155 | AUT. PARA ONC. DE S.A. EN AUTOBUSES     |                    |                    |                                         |
|156 | AUT. PARA ENDOSOS EN POL.VENCIDAS       |                    |                    |                                         |
|157 | AUT. PARA COBERTURAS EN AUTOBUSES       |                    |                    |                                         |
|158 | FECHA DE EMISION EN PC-EMISION          |                    |                    |                                         |
|159 | FORMATO DE RECIBOS (N=NORMAL I=INVER)   |                    |                    |                                         |
|160 | CODIGOS DE SUAUTO                       |                    |                    |                                         |
|161 | AUT. PARA TARIFAS ESPECIALES            |                    |                    |                                         |
|162 | NUMERO DE RECIBOS (POL SUAUTO)          |                    |                    |                                         |
|163 | DIAS DE PERIODO DE GRACIA DEL AGENTE    |                    |                    |                                         |
|164 | AUT. EN DIAS DE PERIODO DE GRACIA       |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 4

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
------------------------------------------------------------------------------------------------------------------------------------
|165 | % DESC X PERIODO DE GRACIA              |                    |                    |                                         |
|166 | DESCTO. PERIODO DE GRACIA               |                    |                    |                                         |
|167 | % DEPARTICIPACION DE LA PMA P/OFNAS.    |                    |                    |                                         |
|168 | AUT. PARA POLIZAS TURISTAS              |                    |                    |                                         |
|169 | REG. IVA                                |                    |                    |                                         |
|170 |                                         |                    |                    |                                         |
|171 |                                         |                    |                    |                                         |
|172 | COD.IVA                                 |                    |                    |                                         |
|173 |                                         |                    |                    |                                         |
|174 | TIPO DE IVA                             |                    |                    |                                         |
|175 | MARCA SCJ                               |                    |                    |                                         |
|176 | UNIDADES CUBIERTAS POL.TURISTAS         |                    |                    |                                         |
|177 | PRIMA ASISTENCIA TURISTICA              |                    |                    |                                         |
|178 | POLITICAS DE BONO A AGENTE              |MV                  |                    |                                         |
|179 | POLITICAS DE BONO A PROMOTOR            |                    |                    |                                         |
|180 | AUT. P/MODIFICAR BONOS                  |                    |                    |                                         |
|181 | AUT. P/REUTILIZAR COTIZACIONES          |                    |                    |                                         |
|182 | AUT. P/CAMBIAR ASEGURADO EN ENDOSO      |                    |                    |                                         |
|183 | MARCA P/RC EN E EXTRANJERO              |                    |                    |                                         |
|184 | CODIGO AGENCIA                          |                    |                    |                                         |
|185 | CONSECUTIVO AGENTE                      |                    |                    |                                         |
|186 | CAMPOS POR AGENTE                       |                    |                    |                                         |
|187 | USUARIO CON POL. DE BELANCEO DE RECIBOS |                    |                    |                                         |
|188 | POL. CON S.A. MODIF. CLUB PILOT.        |                    |                    |                                         |
|189 | REF. POL. INICIAL MODIF. CLUB PILOTOS   |                    |                    |                                         |
|190 | MARCA DE DEDUCIBLE ADMINISTRATIVO       |                    |                    |                                         |
|191 | AUT. P/APLICAR PT CON RECIBOS           |                    |                    |                                         |
|    | PENDIENTES DE PAGO                      |                    |                    |                                         |
|192 | AUT. DE POL. CON DEDUC. ADMVO.          |                    |                    |                                         |
|193 | AUT. PARA PAGO MENS. O TRIM. EN AUTOBUSE|                    |                    |                                         |
|    | MICROS  Y TAXIS                         |                    |                    |                                         |
|194 | NUM. DE REMESA DE ENVMO RCEXT           |                    |                    |                                         |
|195 | SUBCLAVE                                |                    |                    |                                         |
|196 | AUT. PARA QUITAR LA COB DE ASIS. ST.    |                    |                    |                                         |
|197 | PLAN PISO                               |                    |                    |                                         |
|198 | PAQUETE DE COASEGURO                    |                    |                    |                                         |
|199 | COD. DE TARIFA PAQ. FAMILIAR            |                    |                    |                                         |
|200 | NUM PRODUC. PAUETE FAMILIAR             |                    |                    |                                         |
|201 | AUT PARA TARIFA MANUAL                  |                    |                    |                                         |
|202 | DESC. DE CODB. INGRESADAS POR ENDOSO    |                    |                    |                                         |
|203 | ACT. DE LAS SECC. CUBIERTAS X LA POL.   |                    |                    |                                         |
|204 |                                         |                    |                    |                                         |
|205 |                                         |                    |                    |                                         |
|206 |                                         |                    |                    |                                         |
|207 | COD. DE AGENCIA                         |                    |                    |                                         |
|208 | % DE UDI                                |                    |                    |                                         |
|209 | AUT. PARA TAR. DIF. EN COTIZACION       |                    |                    |                                         |
|210 | DER. POL. 1ER RECIBO                    |                    |                    |                                         |
|211 | % S/COMISION RC EXT.                    |                    |                    |                                         |
|212 | % DER. POL RC EXT.                      |                    |                    |                                         |
|213 | COD. DESCRIPTIVO P/DERIVACION           |                    |                    |                                         |
|214 | USUARIO QUE MARCA REC. P/CANCELACION    |                    |                    |                                         |
|215 | AUT. P/MODIFICAR COB. EQ. ELECTRONICO   |                    |                    |                                         |
|216 | AUT. P/CAMBIO DER. POLIZA               |                    |                    |                                         |
|217 | CVE. DE USUARIO QUE MODIFICA SUAUTO     |                    |                    |                                         |
|218 | AUT. RENOVACION                         |                    |                    |                                         |
|219 | REC. EN CAMBIO DE FECHAS                |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 5

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
------------------------------------------------------------------------------------------------------------------------------------
|220 | AUT. P/AJUSTE AUTOMAICO                 |                    |                    |                                         |
|221 | POL COMP. PEUGEOT                       |                    |                    |                                         |
|222 | AUT P/EMITIR SERV PUB. SEMESTRAL        |                    |                    |                                         |
|223 | POL. DE COMPENSACION DE AGENCIAS        |                    |                    |                                         |
|224 | AUT. P/MODIFICAR LA COMISION NORMAL     |                    |                    |                                         |
|225 | AUT P/MODIFICAR LA COMISION X RECARGO   |                    |                    |                                         |
|226 | AUT. P/CAMBIO DE COD. DE ASEGURADO      |                    |                    |                                         |
|227 |                                         |                    |                    |                                         |
|228 | AUT. P/EMITIR PAQ. FAMILIAR             |                    |                    |                                         |
|229 | COND. DE BONO ERRONEAS                  |                    |                    |                                         |
|230 | AUT. P/AMPARAR SERIES DUP. C/AGTES #    |                    |                    |                                         |
|231 | AUT. P/EMITIR VEH. FRONTERIZOS < 5 ANIOS|                    |                    |                                         |
|232 |                                         |                    |                    |                                         |
|233 |                                         |                    |                    |                                         |
|234 | NUM. NEGOCIO OPL                        |                    |                    |                                         |
|235 | LEYENDA DE DEDUCIBLE ADMVO.             |                    |                    |                                         |
|236 | PROV. ANTERIORES DE AV                  |                    |                    |                                         |
|237 | USUARIO QUE MODIFICA EL PROV. AV        |                    |                    |                                         |
|238 | FECHA DE MODIF. DEL PROV. DE AV         |                    |                    |                                         |
|239 | MARCA DE REPORTE ASIGNADO               |                    |                    |                                         |
|240 | AUT. P/EMITIR COB. ESP. EN MOD.ANT.     |                    |                    |                                         |
|241 | MARCA DE POL SPLIT DE RC EXT.           |                    |                    |                                         |
|242 | USUARIO DE QBC                          |                    |                    |                                         |
|243 | NOMBRE DEL NEGOCIO (CONAUTO)            |                    |                    |                                         |
|244 | ZONA PARA RCEUA                         |                    |                    |                                         |
|245 | AUT. P/EMITIR MOD.ANT CON TAR NO PERM.  |                    |                    |                                         |
|246 |                                         |                    |                    |                                         |
|247 | MARCA DE POL. QUE PASAN POR BALANCEO DE |                    |                    |                                         |
|248 | POL. LIGADA MODIF. S.A. Y PRODUCTO      |                    |                    |                                         |
|249 | REF. POL. INI A LA Q SE HICERON MODIF.  |                    |                    |                                         |
|250 | FECHA DE CANCELACION AUTOMATICA         |                    |                    |                                         |
|251 |  SIN DESCRIPCION                        |                    |                    |                                         |
|252 | SIN DESCRIPCION                         |                    |                    |                                         |
|253 | % DE UDI CEDIDO POR LA AGENCIA          |                    |                    |                                         |
|254 | AUT. PARA EMITIR CON TARIFAS NO VIGENTES|                    |                    |                                         |
|255 | EXCLUSION DEL DIA BISIESTO              |                    | S o N              |                                         |
|256 | TEXTOS ASOCIADOS AL DI                  |                    |                    |                                         |
|257 | ATENCION VIAL M.N. (EL SALVADOR)        |                    |                    |                                         |
|258 | ATENCION VIAL USD (EL SALVADOR)         |                    |                    |                                         |
|259 | MARCA SI ESTA EN APLICACION DE PAGO     |                    |                    |                                         |
|260 | VALIDACION DE QUE EL AUTO NO ESTE ROBADO|                    |                    |                                         |
|261 | AUT. PARA EMITIR SER. PUB. VIG -183 DIAS|                    |                    |                                         |
|262 | MARCA DE CONTABILIDAD DIARIA            |                    |                    |                                         |
|263 | AUT. P/AMP VEH <25 ANOS RC PAS          |                    |                    |                                         |
|264 | VIGENCIA DE GARANTIA DEL FABRICANTE     |                    |                    |                                         |
|265 | AUT. P/IMPRIMIR ASEG. MARCADO ART 140   |                    |                    |                                         |
|266 | CVE DE AGENCIA                          |                    |                    |                                         |
|267 | % DE DISTRIBUCION UDI                   |                    |                    |                                         |
|268 |  SUBRAMO DEL DESCUENTO                  |                    |                    |                                         |
|269 | POLIZA A MESES SIN INTERESE             |                    |                    |                                         |
|270 | SELLADO EN EMISION                      |                    |                    |                                         |
|271 | CAMBIOS FISCALES DEL ASEGURADO          |                    |                    |                                         |
|272 | AUT. PARA NO SELLAR                     |                    |                    |                                         |
|273 | FECHA DE CREACION(END. AFECTADO X CFP)  |                    |                    |                                         |
|274 | MARCA POL. AUTOEXPEDIBLES               |                    |                    |                                         |
|275 | MARCA P/END.B CUANDO SELLA REC. PAGADOS |                    |                    |                                         |
|276 | AUT. P/EMITIR SERIES CON PT'S           |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 6

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
------------------------------------------------------------------------------------------------------------------------------------
|277 | VIG. DEL REGISTRO EN CASO DE SINIESTRO  |                    |                    |                                         |
|278 | AGENCIAS AUTOMOTRICES CVE.CORTA:NO.AGENC|                    |                    |                                         |
|279 | ---                                     |                    |                  |                                         |
|280 | ---                                     |                    |                    |                                         |
|281 | ---                                     |                    |                    |                                         |
|282 | MARCA DE CAMBIO DE IVA                  |                    |                    |                                         |
|283 | MARCA DE SEMINUEVO AV. MEC.             |                    |                    |                                         |
|284 | MARCA DE EMBARCACION                    |                    |                    |                                         |
|285 | No. DE INCISOS EN LA POLIZA             |                    |                    |                                         |
|286 | ENDOSO DE SISE S/N                      |                    |                    |                                         |
|287 | SUMAS DE CAT. NO INCLUIDAS EN LA BONIFIC|                    |                    |                                         |
|288 | AUT. DEDUCIBLE ENCONTRACK               |                    |                    |                                         |
|289 | FECHA DE PROC DE DERIVACION             |                    |                    |                                         |
|290 | C.P. ASEGURADO                          |                    |                    |                                         |
|291 | C.P. ALTERNO                            |                    |                    |                                         |
|292 | USUARIO QUE MODIFICA C.P.               |                    |                    |                                         |
|293 | COD. EDO Y GRUPO C.P.                   |                    |                    |                                         |
|294 | TIPO POLIZA (Ind.Flot,Col)              |                    |                    |                                         |
|295 | PAQ. PARA VALIDAR EMISION               |                    |                    |                                         |
|    | CON PAQ. 45                             |                    |                    |                                         |
|296 | CONTROL DIAS PER. GRACIA                |                    |                    |                                         |
|297 | AUT DIAS DE PER.GRACIA                  |                    |                    |                                         |
|298 | DER.POL. DIVIDIDO X REC.                |                    |                    |                                         |
|299 | AUT. PARA MODIFICAR C.P.                |                    |                    |                                         |
|300 | NCLUYE S/N ROBO VALOR TOTAL             |                    |                    |                                         |
|    | (RBO. VY)                               |                    |                    |                                         |
|301 | TIPO DE POLIZA (COSTA RICA)             |                    |                    |                                         |
|302 | TIPO COLECTIVIDAD (COSTA RICA)          |                    |                    |                                         |
|303 | NUMERO DE COLECTIVIDAD (CR)             |                    |                    |                                         |
|304 | REC.FIN. DEVENGADO M.N.                 |                    |                    |                                         |
|305 | COMIS. DEV. S/REC.FIN                   |                    |                    |                                         |
|306 | REC.FIN DEVENGADO USD                   |                    |                    |                                         |
|307 | CODIGO METODO DE PAGO                   |                    |                    |                                         |
|308 | DESCRIPCION DEL METODO                  |                    |                    |                                         |
|309 | DIGITOS DE LA CUENTA                    |                    |                    |                                         |
|310 | MARCA DE EMISION EN SISE                |                    |                    |                                         |
|311 | % REC/DESC. X EDAD                      |                    |                    |                                         |
|312 | % REC/DESC. X OCUPACION                 |                    |                    |                                         |
|313 | % REC/DESC. X GENERO                    |                    |                    |                                         |
|314 | PMA. NETA DEVUELTA (EL SALV.)           |                    |                    |                                         |
|315 | AUT. P/EMITIR CON PEPS                  |                    |                    |                                         |
|316 | DIAS MAXIMOS EMISION                    |                    |                    |                                         |
|317 | RmSr CIERRE EMISION (EL SALV.)          |                    |                    |                                         |
|318 | AUT. SUMA R.P.                          |                    |                    |                                         |
|319 | LIBRE                                   |                    |                    |                                         |
|320 | AGRUPADOR S/N                           |                    |                    |                                         |
|321 | NUMERO DE AGRUPADOR                     |                    |                    |                                         |
|322 | CLAVE DE AGENCIA                        |                    |                    |                                         |
|323 | % DE DISTRIBUCION DE UDI                |                    |                    |                                         |
|324 | SUBRAMO DE DISTRIBUCION                 |                    |                    |                                         |
|325 | LEYENDA DE DATOS MODIFICADOS (C.P.)     |                    |                    |                                         |
|326 | RESPALDO DE DATOS DEL ASEGURADO (C.P.)  |                    |                    |                                         |
|327 | POL. EMITIDAS X SANTANDER COAS.         |                    |                    |                                         |
|328 | RAMO POLIZAS SANTANDER COAS.            |                    |                    |                                         |
|329 | AUT. S.A. TURISTAS                      |                    |                    |                                         |
|330 | HORA INICIO POL TURISTA                 |                    |                    |                                         |
|331 | IMPRESION DEL CERT. RC OBL              |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 7

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
------------------------------------------------------------------------------------------------------------------------------------
|332 | COBERTURAS EMITIDAS EN LOS INCISOS      |                    |                    |                                         |
|333 | AUT. PARA CANCELAR POL. DE RC OBL       |                    |                    |                                         |
|334 | FACTOR DE CALCULO                       |                    |                    |                                         |
|335 | AUT. P/CANCELACION SIN AVAL DE 2 DIAS   |                    |                    |                                         |
|336 | AGTE EXCEPTUADO "S"                     |                    |                    |                                         |
|337 | PRORRATEO POR AGENTE DE RC OBL          |                    |                    |                                         |
|338 | AGENTE PARA PRORRATEO DE RC OBL         |                    |                    |                                         |
|339 | CAMBIO DE FORMATO DE VIGENCIA DE LA POL.|                    |                    |                                         |
|340 | SUBAGENTE (Q. COSTA RICA)               |                    |                    |                                         |
|341 | COB. AFECTADAS POR DEDUCIBLE ADMINISTRAT|                    |                    |                                         |
|    | IVO                                     |                    |                    |                                         |
|342 | AUT. PARA REGULARIZADOS DEFERENTE PAQUET|                    |                    |                                         |
|    | E                                       |                    |                    |                                         |
|343 | MARCA DE INTEGRACION A PACOL            |                    |                    |                                         |
|344 | FECHA DE INTEGRACION A PACOL            |                    |                    |                                         |
|345 | MARCA POLIZA CARGA OPL                  |                    |                    |                                         |
|346 | FECHA CARGA POLIZA OPL                  |                    |                    |                                         |
|347 | NUM. DE COTIZACION QEMISION             |                    |                    |                                         |
|348 | NUM. DE AREA DE TRABAJO QEMISION        |                    |                    |                                         |
|349 | PMA. NETA X INCISO                      |                    |                    |                                         |
|350 | ACUM. PRIMA SIN BT X INCISO             |                    |                    |                                         |
|351 | PMA. SIN ACUMULADO X INCISO             |                    |                    |                                         |
|352 | P.N-BT X INCISO                         |                    |                    |                                         |
|353 | SUBRAMO X INCISO                        |                    |                    |                                         |
|354 | COBRANZA OPL                            |                    |                    |                                         |
|355 | DER POL X INCISO                        |                    |                    |                                         |
|356 | BM                                      |                    |                    |                                         |
|357 | RECURSOS FINANC. X INCISO               |                    |                    |                                         |
